"","country","region","fertility","gdp_pc","edu_sec","life_expectancy"
"164","San Marino","Europe & Central Asia",1.077,47950.6880557136,60.3284671532847,85.095
"165","Sao Tome and Principe","Sub-Saharan Africa",3.977,1825.59971753966,NA,67.602
"166","Saudi Arabia","Middle East & North Africa",2.67,29360.0658968566,106.376211565111,78.75
"167","Senegal","Sub-Saharan Africa",4.294,1452.55612562445,NA,67.379
"168","Serbia","Europe & Central Asia",1.49,7559.86165747394,95.0872421264648,75.890243902439
"169","Seychelles","Sub-Saharan Africa",2.41,18440.2340460932,108.274060095805,72.8414634146341
"170","Sierra Leone","Sub-Saharan Africa",4.294,845.914540460932,43.119270324707,59.059
"171","Singapore","East Asia & Pacific",1.14,66881.6067035265,105.745250914262,83.2975609756098
"172","Sint Maarten (Dutch part)","Latin America & Caribbean",1.522,31708.3110124742,NA,75.693
"173","Slovak Republic","Europe & Central Asia",1.54,19573.3717031314,91.7815399169922,77.2658536585366
"174","Slovenia","Europe & Central Asia",1.6,25888.0481065655,113.556167602539,81.3780487804878
"175","Solomon Islands","East Asia & Pacific",3.93,2278.20633913383,NA,69.806
"176","South Africa","Sub-Saharan Africa",2.27,6914.1780318076,101.399612936693,65.726
"177","South Sudan","Sub-Saharan Africa",4.37,NA,NA,51.905
"178","Spain","Europe & Central Asia",1.26,30602.4212881113,119.430198669434,83.4317073170732
"179","Sri Lanka","South Asia",2.033,4358.56095906047,95.9107331693991,76.485
"180","St. Kitts and Nevis","Latin America & Caribbean",1.587,22901.3816403197,116.923551171393,71.336
"181","St. Lucia","Latin America & Caribbean",1.436,11642.6984727769,88.7150192260742,72.655
"182","St. Martin (French part)","Latin America & Caribbean",2.725,NA,NA,80.029
"183","St. Vincent and the Grenadines","Latin America & Caribbean",1.9,8428.12677153069,NA,71.017
"184","Sudan","Sub-Saharan Africa",4.681,731.027465820313,42.1366996765137,65.501
"185","Suriname","Latin America & Caribbean",2.381,6665.74180472239,74.745979309082,71.468
"186","Sweden","Europe & Central Asia",1.76,54181.9069780904,140.821746826172,82.5585365853659
"187","Switzerland","Europe & Central Asia",1.52,85217.3691512274,104.188026428223,83.7536585365854
"188","Syrian Arab Republic","Middle East & North Africa",2.932,1098.0668642357,NA,67.371
"189","Tajikistan","Europe & Central Asia",3.294,834.288404578801,NA,70.737
"190","Tanzania","Sub-Saharan Africa",4.932,1023.10626220703,28.5933897410534,65.488
"191","Thailand","East Asia & Pacific",1.323,7099.77650081458,80.6045305135668,77.19
"192","Timor-Leste","East Asia & Pacific",3.244,1219.46599728983,83.0952419040915,66.204
"193","Togo","Sub-Saharan Africa",4.513,851.130806891807,NA,60.601
"194","Tonga","East Asia & Pacific",3.326,4638.8978542585,NA,72.169
"195","Trinidad and Tobago","Latin America & Caribbean",1.588,17575.8042838042,NA,72.658
"196","Tunisia","Middle East & North Africa",2.133,3628.10366464236,NA,75.37
"197","Turkiye","Europe & Central Asia",2,9568.83506330228,112.115409851074,77.454
"198","Turkmenistan","Europe & Central Asia",2.875,6125.05169712085,NA,69.272
"199","Turks and Caicos Islands","Latin America & Caribbean",1.677,31625.616593277,95.5051546391753,77.596
"200","Tuvalu","East Asia & Pacific",3.328,4466.12034928245,78.7418670654297,65.871
"201","Uganda","Sub-Saharan Africa",4.867,792.16570022814,NA,65.775
"202","Ukraine","Europe & Central Asia",1.233,3059.0517578125,85.8331876808318,73.569
"203","United Arab Emirates","Middle East & North Africa",1.288,45689.8570049401,102.184448242188,82.449
"204","United Kingdom","Europe & Central Asia",1.68,43315.4874501318,119.994140625,81.2560975609756
"205","United States","North America",1.7295,62875.6661382728,99.2755813598633,78.6390243902439
"206","Uruguay","Latin America & Caribbean",1.681,19249.9404677501,117.769058227539,77.527
"207","Uzbekistan","Europe & Central Asia",2.713,1813.08530813664,94.9465096520158,71.999
"208","Vanuatu","East Asia & Pacific",3.834,3206.65748718811,NA,70.626
"209","Venezuela, RB","Latin America & Caribbean",2.151,NA,NA,72.641
"210","Viet Nam","East Asia & Pacific",1.88,3222.31003125366,92.8377710790826,74.1
"211","Virgin Islands (U.S.)","Latin America & Caribbean",2.06,36663.2087550584,NA,79.5195121951219
"212","West Bank and Gaza","Middle East & North Africa",3.674,3562.33094270256,89.6454662001111,75.38
"213","Yemen, Rep.","Middle East & North Africa",4.607,633.887202450998,NA,65.915
"214","Zambia","Sub-Saharan Africa",4.492,1463.89997855593,NA,62.138
"215","Zimbabwe","Sub-Saharan Africa",3.744,2271.85250365817,NA,60.906
